"gene","chr","strand","upstreamES","upstreamEE","downstreamES","downstreamEE","timepoint","compartment","version","replicate","count"
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","cyt","skipping","r1",0.903648480740992
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","cyt","skipping","r2",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","nuc","inclusion","r1",0.259921191894618
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","nuc","inclusion","r2",0.116177077100917
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","nuc","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","nuc","skipping","r2",0.348531231302752
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","cyt","inclusion","r1",0.162369292719361
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","cyt","inclusion","r2",0.765403750478377
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","cyt","skipping","r1",0.324738585438722
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t7_5","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","nuc","inclusion","r1",4.3866476106921
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","nuc","inclusion","r2",3.70684177081127
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","cyt","inclusion","r1",8.03982807136894
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","cyt","inclusion","r2",7.60901375475563
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_0","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","nuc","inclusion","r1",3.25342718977832
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","nuc","inclusion","r2",3.81206518631469
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","cyt","inclusion","r1",3.13220763689171
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","cyt","inclusion","r2",3.83408853258975
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t0_5","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","nuc","inclusion","r1",1.60897809778564
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","nuc","inclusion","r2",2.46445030435961
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","cyt","inclusion","r1",3.41639442273611
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","cyt","inclusion","r2",3.59121690950133
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t1_5","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","nuc","inclusion","r1",1.22370936902486
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","nuc","inclusion","r2",1.18969722205699
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","cyt","inclusion","r1",2.48055023114218
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","cyt","inclusion","r2",2.3171391055843
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t3_0","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","nuc","inclusion","r1",1.30477478900418
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","nuc","inclusion","r2",0.738923536192475
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","cyt","inclusion","r1",1.80729696148198
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","cyt","inclusion","r2",1.15861429730043
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t5_0","cyt","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","nuc","inclusion","r1",0.363889668652465
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","nuc","inclusion","r2",0.813239539706421
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","nuc","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","nuc","skipping","r2",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","cyt","inclusion","r1",1.62369292719361
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","cyt","inclusion","r2",1.37772675086108
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","cyt","skipping","r1",0
"FBgn0264607","chr4","-",1050694,1050759,1051343,1051378,"t7_5","cyt","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","nuc","inclusion","r1",7.7827618899376
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","nuc","inclusion","r2",6.53110216761985
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","nuc","skipping","r1",0.283009523270458
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","nuc","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","cyt","inclusion","r1",2.78301740932002
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","cyt","inclusion","r2",3.219198127012
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","cyt","skipping","r1",0.618448313182226
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_0","cyt","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","nuc","inclusion","r1",5.61955605507165
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","nuc","inclusion","r2",3.62146192699895
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","nuc","skipping","r1",0.591532216323332
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","nuc","skipping","r2",0.381206518631469
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","cyt","inclusion","r1",3.13220763689171
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","cyt","inclusion","r2",3.83408853258975
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","cyt","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t0_5","cyt","skipping","r2",0.69710700592541
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","nuc","inclusion","r1",3.21795619557129
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","nuc","inclusion","r2",1.60189269783375
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","nuc","skipping","r1",0.201122262223205
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","nuc","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","cyt","inclusion","r1",4.48401767984114
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","cyt","inclusion","r2",2.5651549353581
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","cyt","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t1_5","cyt","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","nuc","inclusion","r1",1.68260038240918
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","nuc","inclusion","r2",1.52961071407327
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","nuc","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","nuc","skipping","r2",0.169956746008141
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","cyt","inclusion","r1",1.80403653173977
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","cyt","inclusion","r2",1.54475940372287
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","cyt","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t3_0","cyt","skipping","r2",0.514919801240957
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","nuc","inclusion","r1",0.961413002424134
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","nuc","inclusion","r2",0.960600597050217
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","nuc","skipping","r1",0.274689429264038
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","nuc","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","cyt","inclusion","r1",0.451824240370496
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","cyt","inclusion","r2",0.926891437840343
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","cyt","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t5_0","cyt","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","nuc","inclusion","r1",0.467858145410312
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","nuc","inclusion","r2",0.464708308403669
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","nuc","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","nuc","skipping","r2",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","cyt","inclusion","r1",0.487107878158083
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","cyt","inclusion","r2",0.918484500574053
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","cyt","skipping","r1",0
"FBgn0039904","chr4","+",365674,365805,365860,366762,"t7_5","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","nuc","inclusion","r1",8.63179045974897
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","nuc","inclusion","r2",8.82581374002683
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","cyt","inclusion","r1",17.9350010822845
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","cyt","inclusion","r2",14.9253731343284
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_0","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","nuc","inclusion","r1",8.28145102852664
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","nuc","inclusion","r2",11.0549890403126
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","cyt","inclusion","r1",11.6745921011418
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","cyt","inclusion","r2",16.0334611362844
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t0_5","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","nuc","inclusion","r1",5.02805655558014
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","nuc","inclusion","r2",6.40757079133499
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","cyt","inclusion","r1",9.8221339653663
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","cyt","inclusion","r2",6.66940283193105
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t1_5","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","nuc","inclusion","r1",1.37667304015296
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","nuc","inclusion","r2",2.03948095209769
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","cyt","inclusion","r1",3.15706393054459
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","cyt","inclusion","r2",2.57459900620478
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t3_0","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","nuc","inclusion","r1",0.892740645108125
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","nuc","inclusion","r2",0.443354121715485
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","cyt","inclusion","r1",1.12956060092624
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","cyt","inclusion","r2",0.926891437840343
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t5_0","cyt","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","nuc","inclusion","r1",0.675795098926006
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","nuc","inclusion","r2",0.697062462605503
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","nuc","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","nuc","skipping","r2",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","cyt","inclusion","r1",1.13658504903553
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","cyt","inclusion","r2",0.612323000382702
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","cyt","skipping","r1",0
"FBgn0031312","chr2L","+",1158661,1158782,1158857,1159467,"t7_5","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","nuc","inclusion","r1",4.10363808742164
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","nuc","inclusion","r2",3.53032549601073
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","nuc","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","cyt","inclusion","r1",7.1121556015956
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","cyt","inclusion","r2",4.38981562774363
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_0","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","nuc","inclusion","r1",3.84495940610165
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","nuc","inclusion","r2",4.76508148289336
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","nuc","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","cyt","inclusion","r1",5.41017682735841
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","cyt","inclusion","r2",4.18264203555246
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t0_5","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","nuc","inclusion","r1",2.51402827779007
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","nuc","inclusion","r2",3.08056288044952
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","nuc","skipping","r2",0.246445030435961
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","cyt","inclusion","r1",5.76516558836718
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","cyt","inclusion","r2",6.15637184485943
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t1_5","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","nuc","inclusion","r1",2.06500956022945
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","nuc","inclusion","r2",2.2944160711099
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","nuc","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","cyt","inclusion","r1",6.31412786108919
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","cyt","inclusion","r2",5.40665791303005
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t3_0","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","nuc","inclusion","r1",2.60954957800836
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","nuc","inclusion","r2",2.06898590133893
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","nuc","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","cyt","inclusion","r1",4.06641816333446
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","cyt","inclusion","r2",3.01239717298111
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t5_0","cyt","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","nuc","inclusion","r1",2.02738529677802
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","nuc","inclusion","r2",2.14927592636697
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","nuc","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","nuc","skipping","r2",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","cyt","inclusion","r1",3.08501656166786
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","cyt","inclusion","r2",2.90853425181783
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","cyt","skipping","r1",0
"FBgn0031670","chr2L","+",5011092,5011131,5011184,5011335,"t7_5","cyt","skipping","r2",0
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","nuc","inclusion","r1",0.566019046540916
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","nuc","inclusion","r2",0.52954882440161
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","nuc","skipping","r1",1.69805713962275
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","nuc","skipping","r2",1.76516274800537
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","cyt","inclusion","r1",0.309224156591113
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","cyt","inclusion","r2",0.292654375182909
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","cyt","skipping","r1",0.618448313182226
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_0","cyt","skipping","r2",1.17061750073164
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","nuc","inclusion","r1",0.591532216323332
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","nuc","inclusion","r2",0.571809777947203
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","nuc","skipping","r1",3.54919329793999
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","nuc","skipping","r2",2.28723911178881
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","cyt","inclusion","r1",0.284746148808337
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","cyt","inclusion","r2",0.348553502962705
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","cyt","skipping","r1",0.569492297616675
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t0_5","cyt","skipping","r2",0.69710700592541
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t1_5","nuc","inclusion","r1",0.301683393334808
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t1_5","nuc","inclusion","r2",0.123222515217981
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t1_5","nuc","skipping","r1",0.201122262223205
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t1_5","nuc","skipping","r2",1.47867018261577
"FBgn0014127","chr2L","-",20060412,20060724,20060829,20060977,"t1_5","cyt","inclusion","r1",0
